WKT,WKT_GEOMET,accuracy,activity_c,average_di,average_ra,catalog_id,catalog_na,dip_dir,downthrown,downthro_1,epistemic_,exposure_q,fs_name,is_active,last_movem,lower_seis,name,net_slip_r,notes,ogc_fid,reference,shortening,slip_type,strike_sli,upper_seis,vert_sep_r,vertex_index,vertex_part,vertex_part_index,distance,angle
"POINT (-116.355681 32.949652)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"0","0","0",0.00000000000000,302.71366860086806
"POINT (-116.407006999999 32.98262)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"1","0","1",0.06100202701465,300.33888349087391
"POINT (-116.460233 33.010878)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"2","0","2",0.12126413484459,300.54774230603078
"POINT (-116.519163 33.04934)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"3","0","3",0.19163508299793,303.52014829405852
"POINT (-116.628 33.1225)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"4","0","4",0.32277576382962,307.83243740128171
"POINT (-116.690249 33.178071)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"5","0","5",0.40622079988330,309.95445251361883
"POINT (-116.729217 33.208684)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"6","0","6",0.45577542421848,304.81140693699462
"POINT (-116.791 33.2465)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"7","0","7",0.52821290722968,301.49340663249018
"POINT (-116.844 33.279)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"8","0","8",0.59038404201103,298.82800403651680
"POINT (-116.952 33.332)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"9","0","9",0.71068782416272,287.56893456084401
"POINT (-117.0082 33.3409)",,,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,,Dextral,,"(0.0,,)",,"10","0","10",0.76758817565548,278.99880102125525
